mode,run_name,text_completion_answered,text_completion_total,text_completion_rate,text_attention_ok,image_completion_answered,image_completion_total,image_completion_rate,image_accuracy_correct,image_accuracy_known_total,image_accuracy_rate,image_questions_all_correct,image_attention_ok,captcha_ok,overall_ok,reached_thank_you,submitted,validation_session_id,validation_submission_ts_utc,validation_match_delta_s,total_exec_steps,unique_answer_items_touched,next_click_count,submit_click_count,order_same_as_baseline,order_common_prefix_len,order_jaccard_overlap,order_sequence_ratio
unconstrained,run_76,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,be3f36f6495a8aad4253c04d742646a9,2026-02-24T18:49:40.268000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_77,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,2399fda7c0969f820fd84f30e9ec98ae,2026-02-24T18:50:01.349000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_78,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,1afc4026ec11ead8eb06a98f476f80c0,2026-02-24T18:50:26.103000+00:00,,23,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_79,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,a1a35e01eefd4c28547043843f92dd80,2026-02-24T18:50:48.214000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_80,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_81,,,,,,,,,,,,,,,True,False,,,,22,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_82,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,7f5bd70c267ce6fb59afa6bc659e2804,2026-02-24T18:51:45.311000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_83,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,ca3c34f6200582df484c521f5d3ab607,2026-02-24T18:52:06.927000+00:00,,17,17,2,1,False,9,0.6470588235294118,0.7857142857142857
unconstrained,run_84,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,c84028b00ff357501ad9e1a64c462623,2026-02-24T18:52:31.041000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_85,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,937b42f98131333c200cdf9f495bd9c4,2026-02-24T18:52:53.692000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_86,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,bcf88f48651382c6e660ea5667dd9333,2026-02-24T18:53:17.189000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_87,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_88,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,83324377cb1fae5eee5aab18af451ac5,2026-02-24T18:54:01.277000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_89,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,e130ce724218fa286d6ef79f3499782f,2026-02-24T18:54:30.440000+00:00,,29,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_90,,,,,,,,,,,,,,,True,False,,,,11,11,2,0,True,11,1.0,1.0
unconstrained,run_91,7,9,0.7777777777777778,True,1,4,0.25,0,4,0.0,False,False,False,False,True,True,7590670dd2fbbf3ff1ee795d3a652c6c,2026-02-24T18:55:01.572000+00:00,,12,12,2,1,False,11,0.9166666666666666,0.9565217391304348
unconstrained,run_92,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,5eb8ac399151ae8a7b35bac74cd3eabe,2026-02-24T18:55:24.272000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_93,7,9,0.7777777777777778,True,4,4,1.0,4,4,1.0,True,True,True,True,True,True,a62a0c04fdec209fabf71dd4bf3ebbdf,2026-02-24T18:55:46.970000+00:00,,17,17,2,1,False,9,0.6470588235294118,0.7857142857142857
unconstrained,run_94,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,7d35de8836b763095853234719806ca7,2026-02-24T18:56:09.235000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_95,,,,,,,,,,,,,,,True,False,,,,16,16,2,0,False,10,0.6875,0.8148148148148148
unconstrained,run_96,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,a54ceefd3c474d592aafb1283f864bc7,2026-02-24T18:57:02.523000+00:00,,41,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_97,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,5ab91e199445f88041818acb10aa3021,2026-02-24T18:57:23.849000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_98,7,9,0.7777777777777778,True,4,4,1.0,2,4,0.5,False,True,True,False,True,True,3b1a02284863465bdc38a4bfbaa3d692,2026-02-24T18:57:48.047000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_99,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,4ecd6940cd357388e1bd5107a17f485c,2026-02-24T18:58:11.216000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
unconstrained,run_100,7,9,0.7777777777777778,True,4,4,1.0,3,4,0.75,False,True,True,False,True,True,cbdd5b3f32119daf1db26a259134a0ce,2026-02-24T18:58:34.930000+00:00,,17,17,2,1,False,10,0.6470588235294118,0.7857142857142857
